113,67,1
111,67,1
110,67,1
103,67,1
94,67,1
71,67,1
44,67,0
27,67,0
23,67,0
22,67,0
23,67,0
23,67,0
36,67,0
58,67,0
77,67,1
93,67,1
105,67,1
113,67,1
100,67,1
77,67,1
51,67,0
29,67,0
22,67,0
22,67,0
20,66,0
21,66,0
22,66,0
22,66,0
22,66,0
22,66,0
25,66,0
34,66,0
58,66,0
80,66,1
98,66,1
109,66,1
112,66,1
114,66,1
114,67,1
112,67,1
111,67,1
110,67,1
111,67,1
112,67,1
111,67,1
111,67,1
106,67,1
92,67,1
72,67,1
41,67,0
25,67,0
24,67,0
23,67,0
22,67,0
22,68,0
23,68,0
24,68,0
23,68,0
23,68,0
28,68,0
45,68,0
67,68,0
89,68,1
101,68,1
106,68,1
107,64,1
95,64,1
72,64,1
56,64,0
52,79,0
56,79,0
75,79,0
97,79,1
109,79,1
115,83,1
114,83,1
113,83,1
112,83,1
110,83,1
108,83,1
101,83,1
85,83,1
56,83,0
43,83,0
37,83,0
35,83,0
35,83,0
35,83,0
35,83,0
35,83,0
35,83,0
35,75,0
36,75,0
36,75,0
37,75,0
37,75,0
37,75,0
37,75,0
38,75,0
38,75,0
38,75,0
39,75,0
44,75,0
59,75,0
77,75,1
92,75,1
110,75,1
116,75,1
110,75,1
95,75,1
77,75,1
52,75,0
45,75,0
45,75,0
45,80,0
46,80,0
46,80,0
54,80,0
68,80,0
87,80,1
99,80,1
107,80,1
108,76,1
98,76,1
85,76,1
59,76,0
43,76,0
39,76,0
38,76,0
37,76,0
36,72,0
39,72,0
48,72,0
74,72,1
95,72,1
110,72,1
114,75,1
105,75,1
91,75,1
68,75,0
52,75,0
51,82,0
68,82,0
89,82,1
108,82,1
116,82,1
117,82,1
117,84,1
116,84,1
116,84,1
115,84,1
116,84,1
115,84,1
115,84,1
114,84,1
113,84,1
110,84,1
92,84,1
68,84,0
53,84,0
47,82,0
65,82,0
87,82,1
102,82,1
111,82,1
111,79,1
99,79,1
78,79,0
57,79,0
50,80,0
58,80,0
75,80,0
96,80,1
106,80,1
112,80,1
115,80,1
116,80,1
116,80,1
116,80,1
115,80,1
115,80,1
115,80,1
115,80,1
116,80,1
116,83,1
108,83,1
89,83,1
71,83,0
67,83,0
67,91,0
76,91,0
98,91,1
107,91,1
114,90,1
109,90,1
98,90,1
85,90,0
